(4185, -753, -1911)
(2364, 2340, 1216)
(41, -60, -110)
(3903, 381, -368)
(4090, 4412, 1610)
(6431, -337, 362)
(1085, 117, -92)
(5565, -686, 1622)
(6616, -1565, -766)
(2715, 3155, 3116)
(7045, -38, 1251)
(5109, 627, 1589)
(4102, -1663, 664)
(1815, -492, 770)
(4104, -359, 616)
(6440, 431, 542)
(349, -338, -455)
(-743, 1579, 631)
(756, -2993, 479)
(2993, 2814, 1638)
(5332, 4216, 1921)
(5186, -336, -846)
(3618, 2372, 1147)
(4812, 123, -102)
(5995, 127, 1110)
(6485, 2932, 1780)
(1806, 2878, 1624)
(1488, 3212, 840)
(290, 444, 1992)
(1050, -48, 36)
(1703, -3191, 830)
(4326, -454, 1794)
(5438, -1991, -406)
(4278, 3090, 1468)
(4002, 3005, 2774)
(1981, 592, -346)
(5128, -291, -921)
(2694, 1833, -904)
(2876, -804, -655)
(6422, 454, 497)
(-800, 1794, 1831)
(282, 3269, 1768)
(2708, 1941, 2827)
(4277, -1645, -841)
(2249, 55, 2308)
(2986, 1677, -1678)
(7659, 633, 639)
(1095, 2385, 1246)
(1192, 2495, 1112)
(2858, 3104, 3015)
(2438, -1216, -1240)
(4001, -1753, 1953)
(1904, -821, -679)
(5502, -1564, 1724)
(4794, 2437, 1264)
(4245, 561, 342)
(5167, 2087, -735)
(6458, -478, 465)
(784, 1952, 674)
(3112, 841, 2958)
(42, 122, 52)
(782, 2961, 444)
(1950, -692, 2888)
(4038, 1989, 2931)
(6835, 1747, 1887)
(-1856, 1852, 602)
(5529, -1584, 1807)
(2885, 1814, -1717)
(2674, 1758, 2752)
(5418, 4351, 1994)
(546, -352, 400)
